air,0
stone,1
grass,2
dirt,3
cobblestone,4
wood,5
sapling,6
bedrock,7
water,8
stationary_water,9
lava,10
stationary_lava,11
sand,12
gravel,13
gold_ore,14
iron_ore,15
coal_ore,16
log,17
leaves,18
sponge,19
glass,20
lapis_ore,21
lapis_block,22
dispenser,23
sandstone,24
note_block,25
bed_block,26
powered_rail,27
detector_rail,28
piston_sticky_base,29
web,30
long_grass,31
dead_bush,32
piston_base,33
piston_extension,34
wool,35
piston_moving_piece,36
yellow_flower,37
red_rose,38
brown_mushroom,39
red_mushroom,40
gold_block,41
iron_block,42
double_step,43
step,44
brick,45
tnt,46
bookshelf,47
mossy_cobblestone,48
obsidian,49
torch,50
fire,51
mob_spawner,52
wood_stairs,53
chest,54
redstone_wire,55
diamond_ore,56
diamond_block,57
workbench,58
crops,59
soil,60
furnace,61
burning_furnace,62
sign_post,63
wooden_door,64
ladder,65
rails,66
cobblestone_stairs,67
wall_sign,68
lever,69
stone_plate,70
iron_door_block,71
wood_plate,72
redstone_ore,73
glowing_redstone_ore,74
redstone_torch_off,75
redstone_torch_on,76
stone_button,77
snow,78
ice,79
snow_block,80
cactus,81
clay,82
sugar_cane_block,83
jukebox,84
fence,85
pumpkin,86
netherrack,87
soul_sand,88
glowstone,89
portal,90
jack_o_lantern,91
cake_block,92
diode_block_off,93
diode_block_on,94
locked_chest,95
trap_door,96
monster_eggs,97
smooth_brick,98
huge_mushroom_1,99
huge_mushroom_2,100
iron_fence,101
thin_glass,102
melon_block,103
pumpkin_stem,104
melon_stem,105
vine,106
fence_gate,107
brick_stairs,108
smooth_stairs,109
mycel,110
water_lily,111
nether_brick,112
nether_fence,113
nether_brick_stairs,114
nether_warts,115
enchantment_table,116
brewing_stand,117
cauldron,118
ender_portal,119
ender_portal_frame,120
ender_stone,121
dragon_egg,122
redstone_lamp_off,123
redstone_lamp_on,124
iron_spade,256
iron_pickaxe,257
iron_axe,258
flint_and_steel,259
apple,260
bow,261
arrow,262
coal,263
diamond,264
iron_ingot,265
gold_ingot,266
iron_sword,267
wood_sword,268
wood_spade,269
wood_pickaxe,270
wood_axe,271
stone_sword,272
stone_spade,273
stone_pickaxe,274
stone_axe,275
diamond_sword,276
diamond_spade,277
diamond_pickaxe,278
diamond_axe,279
stick,280
bowl,281
mushroom_soup,282
gold_sword,283
gold_spade,284
gold_pickaxe,285
gold_axe,286
string,287
feather,288
sulphur,289
wood_hoe,290
stone_hoe,291
iron_hoe,292
diamond_hoe,293
gold_hoe,294
seeds,295
wheat,296
bread,297
leather_helmet,298
leather_chestplate,299
leather_leggings,300
leather_boots,301
chainmail_helmet,302
chainmail_chestplate,303
chainmail_leggings,304
chainmail_boots,305
iron_helmet,306
iron_chestplate,307
iron_leggings,308
iron_boots,309
diamond_helmet,310
diamond_chestplate,311
diamond_leggings,312
diamond_boots,313
gold_helmet,314
gold_chestplate,315
gold_leggings,316
gold_boots,317
flint,318
pork,319
grilled_pork,320
painting,321
golden_apple,322
sign,323
wood_door,324
bucket,325
water_bucket,326
lava_bucket,327
minecart,328
saddle,329
iron_door,330
redstone,331
snow_ball,332
boat,333
leather,334
milk_bucket,335
clay_brick,336
clay_ball,337
sugar_cane,338
paper,339
book,340
slime_ball,341
storage_minecart,342
powered_minecart,343
egg,344
compass,345
fishing_rod,346
watch,347
glowstone_dust,348
raw_fish,349
cooked_fish,350
ink_sack,351
bone,352
sugar,353
cake,354
bed,355
diode,356
cookie,357
map,358
shears,359
melon,360
pumpkin_seeds,361
melon_seeds,362
raw_beef,363
cooked_beef,364
raw_chicken,365
cooked_chicken,366
rotten_flesh,367
ender_pearl,368
blaze_rod,369
ghast_tear,370
gold_nugget,371
nether_stalk,372
potion,373
glass_bottle,374
spider_eye,375
fermented_spider_eye,376
blaze_powder,377
magma_cream,378
brewing_stand_item,379
cauldron_item,380
eye_of_ender,381
speckled_melon,382
monster_egg,383
exp_bottle,384
fireball,385
gold_record,2256
green_record,2257
record_3,2258
record_4,2259
record_5,2260
record_6,2261
record_7,2262
record_8,2263
record_9,2264
record_10,2265
record_11,2266
wood_double_step,125
wood_step,126
cocoa,127
sandstone_stairs,128
emerald_ore,129
ender_chest,130
tripwire_hook,131
tripwire,132
emerald_block,133
spruce_wood_stairs,134
birch_wood_stairs,135
jungle_wood_stairs,136
book_and_quill,386
written_book,387
emerald,388